symbol,tf,window,spearman,t,low10_fwd,low10_t,high10_fwd,high10_t
BTCUSDT,1w,2,0.06479466383145104,1.4091696255340846,0.001869340858391769,0.12226847621183977,0.026149025589311398,1.5885877418129297
BTCUSDT,1w,3,0.0732231873883205,1.5917137037749647,-0.002000808968516704,-0.13151773058410857,0.03186876024162221,1.9312015993817948
BTCUSDT,1w,4,0.07322532335234438,1.5900661215167826,0.0010083173590963678,0.08293646821002583,0.029452091690787375,1.8081829463581822
BTCUSDT,1w,5,0.06855962766463118,1.4866696210140469,0.004791350679708675,0.3833068673605263,0.02758396333383604,1.6756673267463071
BTCUSDT,1w,6,0.06835427724598893,1.4806114108805237,0.005497833301518417,0.43084038603193997,0.03519966826427887,1.9519605386774899
BTCUSDT,1w,7,0.06365775658498339,1.376974898079469,0.005129704510550284,0.4065687888416601,0.03701699808567029,1.9903547697384745
BTCUSDT,1w,8,0.060538633325392006,1.307845310141107,0.007276527341011921,0.6596211567103054,0.03917900205197688,2.1162535735083403
BTCUSDT,1w,9,0.058877171158869424,1.2704570250958072,0.0059825244388130245,0.5438140246602383,0.045013331918643866,2.3683098179538944
BTCUSDT,1w,10,0.054519924379496536,1.174876331362295,0.00739625239399594,0.6809797156082588,0.04307779269393911,2.2685883253664434
BTCUSDT,1w,12,0.05429419206696334,1.1674677768321653,0.0036293452591305763,0.3485380921436319,0.04817146884014317,2.5961607226101013
BTCUSDT,1w,14,0.04224570110640092,0.9058926865974092,0.0028092644777338196,0.27281911921171254,0.04262582812278245,2.315506651264534
BTCUSDT,1w,16,0.027026212041680157,0.5779655405000522,0.012386700715388874,1.1066759502545562,0.029263230745682784,1.6884328072429824
BTCUSDT,1w,18,0.023396618499130214,0.49920358006331683,0.014787113701289422,1.3775676783463664,0.026537464828558094,1.6687672433331924
BTCUSDT,1w,21,0.017586200595215384,0.37394558361760005,0.007915316436685343,0.7074754539731202,0.03237385708354531,2.1529361759480934
BTCUSDT,1w,25,0.02238845623929007,0.4739931073293617,0.005466833342725888,0.45612434858457024,0.03128718213477325,2.0276867113781694
BTCUSDT,1w,30,0.02162924752736815,0.45534952138010326,0.007504789410492318,0.6214470844283017,0.03400534064495109,2.199226301700343
BTCUSDT,1d,2,-0.01346857179541011,-0.7758881716229645,0.00549983512419754,2.2711524787991935,0.004813788803041611,2.2527161130615077
BTCUSDT,1d,3,-0.008308916099308948,-0.4785552679699139,0.002186017695287938,0.8434162679086165,0.005430910550948958,2.5961583312252507
BTCUSDT,1d,4,-0.004472516040046057,-0.25755116069846096,0.0012600716085982256,0.44231926959231094,0.005669035374518153,2.614694927046505
BTCUSDT,1d,5,-0.0005321778194490681,-0.03064069399283921,0.0019185359173347417,0.685168623805487,0.005840292724531124,2.6424979710844982
BTCUSDT,1d,6,0.003754439085684661,0.2161346391789827,0.001638168117529545,0.5860790703555614,0.006409212509673369,2.8862017744691086
BTCUSDT,1d,7,0.007556561053032313,0.4349579902583869,0.0006904516030531736,0.24404607061775385,0.007216101836978593,3.386856164088983
BTCUSDT,1d,8,0.010476098017078009,0.6029322997440592,0.0013076862168301,0.45737343175201917,0.007567850903193774,3.5642012710893414
BTCUSDT,1d,9,0.012909687998947816,0.742902003422358,0.0008938869802091959,0.31234394566561585,0.007952784063164096,3.755713811549732
