symbol,tf,rsi_len,stoch_len,spearman,t,low10_fwd,low10_t,high10_fwd,high10_t
BTCUSDT,1w,7,14,0.04967696870609858,1.0562820429819708,0.011407653805738795,0.7392183316581952,0.021193687787693122,1.7117677438498828
BTCUSDT,1w,14,14,0.05075476318222349,1.0708493904459129,0.0011904838952657359,0.08495056952942633,0.02944300533129925,2.2577189254484438
BTCUSDT,1w,21,14,0.06765074751728592,1.4174553926844924,0.0001331997929862479,0.010190403077028965,0.02690797856327692,1.9309191217432007
BTCUSDT,1d,7,14,0.0005771856458266926,0.033146747497408306,0.0003752517627546172,0.1410140429238936,0.0067476302333820525,3.069343859243801
BTCUSDT,1d,14,14,-0.00010045072943781802,-0.0057625809357282265,-0.00045271216431496997,-0.17540207160843196,0.005229796765542331,2.3803647431638524
BTCUSDT,1d,21,14,0.0022736031228860016,0.13029188096024155,0.00021229608620396178,0.08221059271163579,0.005337981724882008,2.4310375955221306
BTCUSDT,4h,7,14,-0.014107817997123455,-1.990050641987779,0.0002906719243176015,0.8238337436032952,0.00025407778448251726,0.8094209959642363
BTCUSDT,4h,14,14,-0.01619956196227228,-2.2847826948534036,0.00023709207119602238,0.6460618423355273,0.0002292812875828135,0.7427315964732907
BTCUSDT,4h,21,14,-0.016639598294054724,-2.3464492135477912,0.00020753759367954524,0.5636001381249229,0.0004062995697945486,1.2749688488397128
ETHUSDT,1w,7,14,0.045466209790283624,0.9665545479849903,-0.0003786860269817482,-0.019394272861062312,-0.0021224910482139123,-0.1274649843659395
ETHUSDT,1w,14,14,0.04822186257923243,1.0172811496502943,0.009648003239736422,0.4564482021336191,0.012615134359966125,0.7639201995978887
ETHUSDT,1w,21,14,0.0598077498813771,1.2524958712924505,-0.016793669115380036,-0.7896110881748545,0.011568169436684938,0.697631206269836
ETHUSDT,1d,7,14,-0.004631682395663645,-0.2659921104569204,0.004163925272945659,1.1616235872997258,0.00581385884902709,2.38134844405513
ETHUSDT,1d,14,14,-0.0002989730567860597,-0.017151259281843228,0.001943161593676155,0.5406548673704302,0.008534473384578257,3.4499103491421153
ETHUSDT,1d,21,14,0.0014422785459154935,0.08265158174516,0.0013748691321873732,0.3774268799852209,0.007366202805724599,2.9597262157144186
ETHUSDT,4h,7,14,-0.012564836847601325,-1.7723610423047989,-0.00047893984078294414,-1.0288746788650738,-4.9417970708171475e-05,-0.12433398548024555
ETHUSDT,4h,14,14,-0.013162056023377026,-1.8562907205211885,-0.00047020057316090187,-0.9831184262815966,-0.0003540090748785922,-0.8808513989282009
ETHUSDT,4h,21,14,-0.013398351632895466,-1.889289654063621,-0.00036848799808830826,-0.7604671778053977,-0.00025392877002056863,-0.6299887626090922
SOLUSDT,1w,7,14,0.07422781248939432,1.2784313415689998,0.0052965844176101695,0.24047314450814242,0.09606966976287484,2.8640173089666505
SOLUSDT,1w,14,14,0.04160574716889195,0.7066848571940466,0.011821514150682019,0.5602309139952191,0.05282558868475538,1.7892553889506422
SOLUSDT,1w,21,14,0.006115734342319461,0.10252030604724413,0.005477245766833819,0.24720550559831406,0.03007025914085387,0.9831831121351938
SOLUSDT,1d,7,14,0.015599804126199709,0.7331140282848484,0.007481119923558298,1.7520927159266033,0.0008637355211419485,0.20863596671135776
SOLUSDT,1d,14,14,0.016236833103560545,0.7618484758294595,0.00859120445049167,2.0839396282352936,0.00353234267884755,0.9406005359042271
SOLUSDT,1d,21,14,0.01694165794786196,0.793663769228506,0.0067741392439684914,1.5761065723744436,0.004920631416436844,1.2858325015554033
SOLUSDT,4h,7,14,-0.017817563069263142,-2.0605490453711814,0.002131040605433392,3.190157013911581,-0.0003024467755715841,-0.4559686505397174
SOLUSDT,4h,14,14,-0.018641134826004133,-2.155260660057965,0.0013449161078934635,1.9492699243147662,-0.00041674388096163656,-0.652834861045974
SOLUSDT,4h,21,14,-0.019048418103085038,-2.2017901510399165,0.0009017567286763583,1.2791731350824596,-0.0005489999308737442,-0.8579781970826585
