symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
ETHUSDT,1w,4,lo,48,17,0.005651292637912068,0.3349446117872843,0.40255994081813873
ETHUSDT,1w,4,hi,48,22,0.017798547092677038,0.9037576888876782,0.9584937420013164
ETHUSDT,1w,5,lo,47,15,0.0014008297737027927,0.07385907550096397,0.12849540353075675
ETHUSDT,1w,5,hi,47,19,0.018861337625686345,0.953777031685488,0.9483564306150802
ETHUSDT,1w,6,lo,47,14,-0.002149155321823298,-0.10590298019358554,-0.20358880842481725
ETHUSDT,1w,6,hi,47,16,0.03624317327711771,1.5842819554798435,1.9027818610953076
ETHUSDT,1w,7,lo,47,13,-0.00401231994247464,-0.19671056017051064,-0.38598392881062477
ETHUSDT,1w,7,hi,47,16,0.030791793246579182,1.2561662932222333,1.5267066651056669
ETHUSDT,1w,8,lo,47,12,-0.007104890117170937,-0.34606017755390955,-0.7256092072703232
ETHUSDT,1w,8,hi,47,15,0.02730953234799925,1.0947737816526733,1.2965109112984496
ETHUSDT,1w,9,lo,47,12,-0.007396375041003117,-0.36067727657347826,-0.7627325346197464
ETHUSDT,1w,9,hi,47,14,0.031160312731739147,1.2251090838907603,1.585785305646904
ETHUSDT,1w,10,lo,47,10,-0.00739642662945583,-0.3559413967118255,-1.0856608623320578
ETHUSDT,1w,10,hi,47,13,0.033661082428444934,1.3293896400291074,1.7793027718216736
ETHUSDT,1w,12,lo,47,11,0.0003852193925744309,0.019738130584763026,0.0488395967646238
ETHUSDT,1w,12,hi,47,13,0.029781555592222238,1.1297273490563713,1.4164920974399264
ETHUSDT,1w,14,lo,47,10,0.004093146155943857,0.20722471615277893,0.5033088653438405
ETHUSDT,1w,14,hi,47,12,0.03367740855253488,1.2862183622820915,1.7500237780502523
ETHUSDT,1w,16,lo,46,11,0.007615752364492252,0.3834184860370277,0.9999029812057327
ETHUSDT,1w,16,hi,46,8,0.039811171394186176,1.5241977794303445,2.77135674691748
ETHUSDT,1w,18,lo,46,10,0.010668246872979553,0.5438315807086104,1.3376071478901468
ETHUSDT,1w,18,hi,46,8,0.04111207913216907,1.578375202828341,2.747936880392832
ETHUSDT,1w,21,lo,46,12,0.02125738717446386,1.012889520775389,2.3497351048618262
ETHUSDT,1w,21,hi,46,8,0.027654883747901794,1.1357627063400104,1.0792591015368764
ETHUSDT,1w,25,lo,45,12,0.0240802893989204,1.2029942665678033,2.375023639551413
ETHUSDT,1w,25,hi,45,9,0.033813668856728776,1.496144452515634,1.588092259930159
ETHUSDT,1w,30,lo,45,11,0.025603504522646998,1.336136789634714,1.9842875408805525
ETHUSDT,1w,30,hi,45,8,0.033737909622732765,1.4922863181377373,1.5786124135144906
ETHUSDT,1d,2,lo,332,192,0.006456950281977658,2.0786146334908904,2.284936874939578
ETHUSDT,1d,2,hi,332,154,0.005633263399389965,2.2858434967805863,2.2987394015948523
ETHUSDT,1d,3,lo,332,164,0.00417766064101864,1.2759054212839749,1.4814189775572373
ETHUSDT,1d,3,hi,332,141,0.006244432226881645,2.533248119505889,2.694995058529431
ETHUSDT,1d,4,lo,332,148,0.0027462587736771706,0.8087493255216472,0.8893585374733058
ETHUSDT,1d,4,hi,332,124,0.006661693402264299,2.7034026947401,2.9354135547381013
ETHUSDT,1d,5,lo,332,130,0.0025866944489098434,0.7569102058944577,0.8713925281302496
ETHUSDT,1d,5,hi,332,115,0.006792026456485605,2.7287033445792175,3.4073075516148172
ETHUSDT,1d,6,lo,331,119,0.0014016689893177334,0.3761067839835327,0.45697968550639734
ETHUSDT,1d,6,hi,331,104,0.007432950163837956,2.8385214046127007,3.4271399102726128
ETHUSDT,1d,7,lo,331,113,0.00277223964715958,0.7575280760399379,0.8808524838361933
ETHUSDT,1d,7,hi,331,97,0.007115742571550775,2.624652192927781,3.171514625589339
ETHUSDT,1d,8,lo,331,102,0.003146701359154558,0.923922164749112,0.9759483982757883
ETHUSDT,1d,8,hi,331,83,0.007232945425493041,2.6351183654898573,3.2059192968025974
ETHUSDT,1d,9,lo,331,95,0.0029489538757771295,0.8747259475756095,0.7919643628758458
ETHUSDT,1d,9,hi,331,83,0.006585668852469131,2.399505187103038,2.8336758711332033
ETHUSDT,1d,10,lo,331,87,0.0017030628110082412,0.5096140063206772,0.47395971663189884
ETHUSDT,1d,10,hi,331,84,0.00536023470760493,1.9343888531809137,2.2556001400090477
ETHUSDT,1d,12,lo,331,91,0.0035414706248545758,1.0818980845735833,0.9243153202077374
