symbol,tf,window,mr_ret,mr_trades,mr_win,mr_expo,mom_ret,mom_trades,mom_win,mom_expo
BTCUSDT,1w,2,-0.8775675093343738,18,0.0,0.07142857142857142,11.611951786541004,72,0.5138888888888888,0.5189075630252101
BTCUSDT,1w,3,-0.7289220873161879,13,0.07692307692307693,0.07142857142857142,12.555903874433707,60,0.5166666666666667,0.523109243697479
BTCUSDT,1w,4,-0.7329220873161879,15,0.06666666666666667,0.07563025210084033,12.759347257780895,46,0.5434782608695652,0.5168067226890757
BTCUSDT,1w,5,-0.5931954428965265,17,0.11764705882352941,0.0819327731092437,11.438134176154788,38,0.5263157894736842,0.5168067226890757
BTCUSDT,1w,6,-0.5825444749304366,15,0.2,0.08403361344537816,11.311307219527958,31,0.6129032258064516,0.5336134453781513
BTCUSDT,1w,7,-0.5756334647878811,14,0.14285714285714285,0.07983193277310924,10.958130257679073,30,0.5333333333333333,0.5378151260504201
BTCUSDT,1w,8,-0.5741276689907071,11,0.2727272727272727,0.07773109243697479,10.438042908926937,25,0.56,0.5399159663865546
BTCUSDT,1w,9,-0.6131210086925872,10,0.2,0.07983193277310924,11.29263707986714,25,0.56,0.542016806722689
BTCUSDT,1w,10,-0.5526817869029235,12,0.16666666666666666,0.07563025210084033,11.289226611002979,24,0.625,0.5378151260504201
BTCUSDT,1w,12,-0.5511713372579965,12,0.16666666666666666,0.07983193277310924,9.149971648485948,21,0.6666666666666666,0.542016806722689
BTCUSDT,1w,14,-0.5376355463031832,11,0.18181818181818182,0.08823529411764706,8.517656598906424,20,0.6,0.5483193277310925
BTCUSDT,1w,16,-0.5280083278689465,8,0.375,0.09243697478991597,7.443620640963237,22,0.5,0.5504201680672269
BTCUSDT,1w,18,-0.5748596371050407,7,0.2857142857142857,0.09873949579831932,7.2315825444714825,19,0.5789473684210527,0.5735294117647058
BTCUSDT,1w,21,-0.5176240114405005,5,0.2,0.10504201680672269,6.8072264051273255,18,0.6111111111111112,0.592436974789916
BTCUSDT,1w,25,-0.5786338860029264,4,0.25,0.1134453781512605,6.483568788763359,15,0.5333333333333333,0.6218487394957983
BTCUSDT,1w,30,-0.5786338860029264,4,0.25,0.1134453781512605,6.241706324522044,12,0.3333333333333333,0.6302521008403361
BTCUSDT,1d,2,-4.013982812515467,194,0.005154639175257732,0.09930785434848029,18.988654614594918,512,0.537109375,0.5221185675594342
BTCUSDT,1d,3,-4.103612408378311,158,0.006329113924050633,0.09359012940114354,17.37984394300424,414,0.5265700483091788,0.5212157688835389
BTCUSDT,1d,4,-4.260310468805564,149,0.040268456375838924,0.09780318988865483,16.8569107797797,361,0.518005540166205,0.5272344267228408
BTCUSDT,1d,5,-3.990091011390074,139,0.07194244604316546,0.09780318988865483,15.421022674543254,309,0.5339805825242718,0.5275353596148059
BTCUSDT,1d,6,-3.85804835610813,125,0.08,0.0990069214565152,14.808893612454918,274,0.5218978102189781,0.5260306951549805
BTCUSDT,1d,7,-4.129137762016789,122,0.08196721311475409,0.10352091483599157,14.65918641410852,244,0.5204918032786885,0.5299428227505266
BTCUSDT,1d,8,-4.0112175293199,124,0.10483870967741936,0.10743304243153777,14.153363995364558,217,0.5391705069124424,0.527836292506771
BTCUSDT,1d,9,-4.036535208629892,109,0.08256880733944955,0.10653024375564249,13.599925462288095,204,0.5196078431372549,0.5257297622630154
BTCUSDT,1d,10,-3.3053876500136723,112,0.10714285714285714,0.10773397532350286,12.80556591678153,191,0.5392670157068062,0.5242250978031899
BTCUSDT,1d,12,-2.9943942298203425,103,0.10679611650485436,0.10893770689136323,12.281830678515,170,0.5176470588235295,0.527836292506771
BTCUSDT,1d,14,-2.729081788920201,89,0.12359550561797752,0.10863677399939814,12.707982777914031,154,0.5194805194805194,0.5248269635871201
BTCUSDT,1d,16,-2.8708398444536405,83,0.0963855421686747,0.11224796870297923,12.065190335060986,142,0.4859154929577465,0.5218176346674691
BTCUSDT,1d,18,-2.791551019941105,74,0.13513513513513514,0.11074330424315378,12.345657038785214,131,0.4732824427480916,0.5194101715317484
BTCUSDT,1d,21,-2.701542730794788,72,0.1527777777777778,0.1134517002708396,11.28290330980471,125,0.416,0.5151971110442372
BTCUSDT,1d,25,-2.4000551293435097,62,0.11290322580645161,0.11916942521817635,12.94276446161519,108,0.42592592592592593,0.5157989768281673
BTCUSDT,1d,30,-2.481313344544465,61,0.09836065573770492,0.12338248570568763,12.255629472126063,100,0.44,0.5197111044237135
BTCUSDT,4h,2,-12.689724329527676,1070,0.001869158878504673,0.09945278377428586,32.55012869536663,3379,0.47084936371707603,0.5239218836286962
BTCUSDT,4h,3,-12.72953512561967,976,0.005122950819672131,0.10010542697926603,29.407915231162043,2672,0.4588323353293413,0.5258798132436368
BTCUSDT,4h,4,-12.34976908111246,887,0.012401352874859075,0.10151112003614639,27.34633416239529,2222,0.46894689468946893,0.5244741201867563
BTCUSDT,4h,5,-12.148832063323587,805,0.02111801242236025,0.10136051006576635,25.74037598444249,1943,0.4709212557900154,0.5254781866559566
BTCUSDT,4h,6,-11.581751192892257,764,0.02617801047120419,0.10296701641648677,24.24274296880184,1713,0.46468184471687096,0.5279883528289573
BTCUSDT,4h,7,-10.884868669069762,717,0.03905160390516039,0.1026657964757267,23.170640668807867,1538,0.4577373211963589,0.527084693006677
BTCUSDT,4h,8,-10.62049908938178,672,0.047619047619047616,0.1030674230634068,22.84628170436378,1392,0.4640804597701149,0.5279381495054972
BTCUSDT,4h,9,-10.468846192059868,652,0.04141104294478527,0.10186254330036648,21.984725028570207,1282,0.46801872074882994,0.5287916060043175
BTCUSDT,4h,10,-10.247891601524337,627,0.044657097288676235,0.10351925297454692,21.308127260023348,1194,0.4715242881072027,0.5272353029770571
BTCUSDT,4h,12,-9.951211139741833,566,0.04240282685512368,0.10407148953260706,20.432196598942454,1071,0.46218487394957986,0.5261810331843968
BTCUSDT,4h,14,-9.320924839153747,534,0.05056179775280899,0.10502535267834731,19.527283343229524,981,0.46381243628950053,0.5248757467744365
