symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
BTCUSDT,1w,8,hi_bull,47,4,0.042282363982715725,2.5775210991943136,4.381473303956541
BTCUSDT,1w,8,hi_bear,0,0,,,
BTCUSDT,1w,9,lo,46,8,-0.015140502494492137,-1.077045093601446,-1.094092809731336
BTCUSDT,1w,9,hi,46,3,0.036538345401834545,2.2976490511989245,2.722642579117253
BTCUSDT,1w,9,hi_bull,46,3,0.036538345401834545,2.2976490511989245,2.722642579117253
BTCUSDT,1w,9,hi_bear,0,0,,,
BTCUSDT,1w,10,lo,46,7,-0.019349596375230503,-1.392584439511152,-1.203051933988163
BTCUSDT,1w,10,hi,46,3,0.032748725617077395,1.9619223451959293,3.12809476278755
BTCUSDT,1w,10,hi_bull,46,3,0.032748725617077395,1.9619223451959293,3.12809476278755
BTCUSDT,1w,10,hi_bear,0,0,,,
BTCUSDT,1w,12,lo,46,7,-0.017994943363066306,-1.3060039153221463,-1.2867535683435092
BTCUSDT,1w,12,hi,46,3,0.026338936799320044,1.5465937292510734,10.208774430288445
BTCUSDT,1w,12,hi_bull,44,3,0.0267906551072401,1.5045843903307,9.841069065461646
BTCUSDT,1w,12,hi_bear,2,0,,,
BTCUSDT,1w,14,lo,45,6,-0.007236350139445369,-0.4852904909828754,-0.521101059205089
BTCUSDT,1w,14,hi,45,2,0.023426949230868604,1.3866323957819267,18.883156490689075
BTCUSDT,1w,14,hi_bull,41,2,0.024853527369007117,1.35973891777659,65.83298540859334
BTCUSDT,1w,14,hi_bear,4,0,,,
BTCUSDT,1w,16,lo,45,5,0.000471469389755567,0.03118568200818323,0.03262372999200562
BTCUSDT,1w,16,hi,45,2,0.011209608547105154,0.706802322737028,38.4928505224832
BTCUSDT,1w,16,hi_bull,39,2,0.012246094327408003,0.6802590606757756,32.388595908981756
BTCUSDT,1w,16,hi_bear,6,1,0.004472450975136637,0.1855519013698416,1289096226883722.8
BTCUSDT,1w,18,lo,45,4,-0.004832071998518083,-0.32710679859517144,-0.3319697975500898
BTCUSDT,1w,18,hi,45,2,0.010736760108331328,0.6761373691218554,9.276586284336647
BTCUSDT,1w,18,hi_bull,38,2,0.012774706378031946,0.6914862259628036,2361.6891394144127
BTCUSDT,1w,18,hi_bear,7,1,-0.00032637678432916636,-0.015594642523153535,-329250961600336.06
BTCUSDT,1w,21,lo,44,2,-0.003260075292242731,-0.2226276262716396,-0.2264750420032731
BTCUSDT,1w,21,hi,44,2,-0.0038206576426778782,-0.25058443724283624,-0.9304230244641911
BTCUSDT,1w,21,hi_bull,36,2,-0.002595055255665696,-0.14271674852615346,-0.44455840542636393
BTCUSDT,1w,21,hi_bear,8,1,-0.009335868384232698,-0.46124503591991306,
