symbol,tf,window,kind,filt,n,fwd,t
BTCUSDT,1w,16,bear,fixed20,10,0.06513050982058408,2.5098916651275496
BTCUSDT,1w,16,bear,adx_gt_med,4,0.05209140939697965,
BTCUSDT,1w,18,bull,all,17,0.010684770156937617,0.638213468880193
BTCUSDT,1w,18,bull,fixed20,9,0.029329295944815394,1.618811646270832
BTCUSDT,1w,18,bull,adx_gt_med,5,0.001773012690960174,0.12643242427572177
BTCUSDT,1w,18,bear,all,17,0.013692459752536471,0.4907041518109863
BTCUSDT,1w,18,bear,fixed20,8,0.04218115322383463,2.587688933418641
BTCUSDT,1w,18,bear,adx_gt_med,4,0.04850588713111578,
BTCUSDT,1w,21,bull,all,18,0.016808087172289963,1.0159552852227112
BTCUSDT,1w,21,bull,fixed20,8,0.028874609170122426,1.4612645872973717
BTCUSDT,1w,21,bull,adx_gt_med,5,0.00567698461989592,0.3544382406305538
BTCUSDT,1w,21,bear,all,18,0.015920674293939802,0.6151976965541173
BTCUSDT,1w,21,bear,fixed20,8,0.039950297625966205,2.150499788648132
BTCUSDT,1w,21,bear,adx_gt_med,3,0.02129937460655133,
BTCUSDT,1w,25,bull,all,16,0.007036911075828274,0.4228922286143838
BTCUSDT,1w,25,bull,fixed20,5,0.006989755854445367,0.1712526301446592
BTCUSDT,1w,25,bull,adx_gt_med,4,-0.0160393542676103,
BTCUSDT,1w,25,bear,all,16,-0.024951831655803336,-1.2159614949538498
BTCUSDT,1w,25,bear,fixed20,6,-0.017316872789427062,-1.0490791981984724
BTCUSDT,1w,25,bear,adx_gt_med,4,-0.007389193008821959,
BTCUSDT,1w,30,bull,all,9,-0.01878164241891474,-0.8796732387115298
BTCUSDT,1w,30,bull,fixed20,4,-0.011379265184271514,
BTCUSDT,1w,30,bull,adx_gt_med,2,-0.0379514480669757,
BTCUSDT,1w,30,bear,all,10,0.016845842668468537,0.934348048753731
BTCUSDT,1w,30,bear,fixed20,6,0.02123495649835779,0.8579942531479937
BTCUSDT,1w,30,bear,adx_gt_med,3,-0.0020071191627305898,
BTCUSDT,1d,2,bull,all,422,-0.0006295334918722942,-0.41516507955413356
BTCUSDT,1d,2,bull,fixed20,418,-0.0007093513738094701,-0.4641995591678442
