symbol,tf,window,rule,ret_net,trades,win,expo,ret_gross,bh
BTCUSDT,1w,2,dom,13.01595557704737,59,0.559322033898305,0.5546218487394958,13.133955577047375,20.014362661485112
BTCUSDT,1w,2,dom_adx_med,1.753550687100945,21,0.6190476190476191,0.16176470588235295,1.795550687100945,20.014362661485112
BTCUSDT,1w,2,dom_adx_p90,0.05637000668565739,5,0.2,0.03991596638655462,0.0663700066856574,20.014362661485112
BTCUSDT,1w,3,dom,12.87754061505969,39,0.6410256410256411,0.5378151260504201,12.955540615059698,20.014362661485112
BTCUSDT,1w,3,dom_adx_med,1.3507633567059343,13,0.7692307692307693,0.14915966386554622,1.3767633567059343,20.014362661485112
BTCUSDT,1w,3,dom_adx_p90,0.12572213111255925,4,0.75,0.03991596638655462,0.13372213111255926,20.014362661485112
BTCUSDT,1w,4,dom,10.218029885595458,37,0.5135135135135135,0.5483193277310925,10.292029885595463,20.014362661485112
BTCUSDT,1w,4,dom_adx_med,1.4229402693023723,11,0.6363636363636364,0.15756302521008403,1.4449402693023723,20.014362661485112
BTCUSDT,1w,4,dom_adx_p90,0.00842149002977155,3,0.3333333333333333,0.03571428571428571,0.014421490029771555,20.014362661485112
BTCUSDT,1w,5,dom,9.868519654856941,35,0.45714285714285713,0.5483193277310925,9.938519654856943,20.014362661485112
BTCUSDT,1w,5,dom_adx_med,1.0208638303630106,12,0.5,0.16176470588235295,1.0448638303630107,20.014362661485112
BTCUSDT,1w,5,dom_adx_p90,0.030145271025428633,3,0.3333333333333333,0.029411764705882353,0.03614527102542864,20.014362661485112
BTCUSDT,1w,6,dom,10.212044570872749,30,0.5666666666666667,0.5462184873949579,10.272044570872751,20.014362661485112
BTCUSDT,1w,6,dom_adx_med,0.8824503345949223,8,0.625,0.16596638655462184,0.8984503345949223,20.014362661485112
BTCUSDT,1w,6,dom_adx_p90,0.141071710111067,3,1.0,0.0273109243697479,0.147071710111067,20.014362661485112
BTCUSDT,1w,7,dom,10.271910859581952,25,0.56,0.5378151260504201,10.321910859581955,20.014362661485112
BTCUSDT,1w,7,dom_adx_med,0.4433350029433386,11,0.18181818181818182,0.1638655462184874,0.4653350029433386,20.014362661485112
BTCUSDT,1w,7,dom_adx_p90,0.3125047330197478,3,0.3333333333333333,0.029411764705882353,0.3185047330197478,20.014362661485112
BTCUSDT,1w,8,dom,9.984205738020067,24,0.5416666666666666,0.5483193277310925,10.032205738020066,20.014362661485112
BTCUSDT,1w,8,dom_adx_med,0.5891519307290514,11,0.36363636363636365,0.17436974789915966,0.6111519307290514,20.014362661485112
BTCUSDT,1w,8,dom_adx_p90,0.638362050706208,1,1.0,0.031512605042016806,0.640362050706208,20.014362661485112
BTCUSDT,1w,9,dom,10.122501331836785,20,0.55,0.5399159663865546,10.162501331836788,20.014362661485112
BTCUSDT,1w,9,dom_adx_med,0.7803430964050523,10,0.3,0.18067226890756302,0.8003430964050523,20.014362661485112
BTCUSDT,1w,9,dom_adx_p90,0.49272637785372364,1,1.0,0.031512605042016806,0.49472637785372364,20.014362661485112
BTCUSDT,1w,10,dom,10.17231867147599,22,0.5,0.5315126050420168,10.216318671475989,20.014362661485112
BTCUSDT,1w,10,dom_adx_med,0.6639549915181981,11,0.2727272727272727,0.18907563025210083,0.6859549915181982,20.014362661485112
BTCUSDT,1w,10,dom_adx_p90,0.4763203627853212,1,1.0,0.03361344537815126,0.4783203627853212,20.014362661485112
BTCUSDT,1w,12,dom,9.194797668447256,20,0.65,0.5483193277310925,9.234797668447259,20.014362661485112
BTCUSDT,1w,12,dom_adx_med,0.6395108298002775,12,0.25,0.18067226890756302,0.6635108298002775,20.014362661485112
BTCUSDT,1w,12,dom_adx_p90,0.510462633903914,1,1.0,0.03361344537815126,0.512462633903914,20.014362661485112
BTCUSDT,1w,14,dom,7.386476728947347,18,0.6111111111111112,0.5462184873949579,7.422476728947347,20.014362661485112
BTCUSDT,1w,14,dom_adx_med,0.6769616109541836,9,0.3333333333333333,0.18487394957983194,0.6949616109541836,20.014362661485112
BTCUSDT,1w,14,dom_adx_p90,0.5374782916533591,1,1.0,0.03361344537815126,0.5394782916533591,20.014362661485112
BTCUSDT,1w,16,dom,6.0585883086291155,19,0.5789473684210527,0.5525210084033614,6.096588308629114,20.014362661485112
BTCUSDT,1w,16,dom_adx_med,0.7677199856823279,9,0.4444444444444444,0.17647058823529413,0.7857199856823279,20.014362661485112
BTCUSDT,1w,16,dom_adx_p90,0.4766802987567196,1,1.0,0.03571428571428571,0.4786802987567196,20.014362661485112
BTCUSDT,1w,18,dom,6.1446656154547945,18,0.5,0.5735294117647058,6.180665615454794,20.014362661485112
BTCUSDT,1w,18,dom_adx_med,0.4356493138306111,8,0.375,0.17647058823529413,0.45164931383061113,20.014362661485112
BTCUSDT,1w,18,dom_adx_p90,0.3701325051759834,1,1.0,0.031512605042016806,0.3721325051759834,20.014362661485112
BTCUSDT,1w,21,dom,6.083126096491067,19,0.47368421052631576,0.5882352941176471,6.121126096491066,20.014362661485112
BTCUSDT,1w,21,dom_adx_med,0.9070076037528008,6,0.8333333333333334,0.19117647058823528,0.9190076037528008,20.014362661485112
BTCUSDT,1w,21,dom_adx_p90,0.0834596850744771,1,1.0,0.0273109243697479,0.0854596850744771,20.014362661485112
BTCUSDT,1w,25,dom,5.4488869536098266,17,0.47058823529411764,0.6029411764705882,5.4828869536098255,20.014362661485112
BTCUSDT,1w,25,dom_adx_med,0.8295980691454063,5,0.6,0.18907563025210083,0.8395980691454064,20.014362661485112
BTCUSDT,1w,25,dom_adx_p90,0.016345026213759883,1,1.0,0.0273109243697479,0.018345026213759885,20.014362661485112
BTCUSDT,1w,30,dom,5.241850943319021,10,0.6,0.6323529411764706,5.261850943319019,20.014362661485112
BTCUSDT,1w,30,dom_adx_med,0.8573874783914331,3,0.6666666666666666,0.1953781512605042,0.8633874783914331,20.014362661485112
BTCUSDT,1w,30,dom_adx_p90,-0.036078172418229415,2,0.5,0.01680672268907563,-0.03207817241822941,20.014362661485112
BTCUSDT,1d,2,dom,14.05010605506347,422,0.46919431279620855,0.5142943123683419,14.894106055063485,19.039553520587713
BTCUSDT,1d,2,dom_adx_med,7.20074563325463,225,0.49333333333333335,0.23593138730063196,7.650745633254612,19.039553520587713
BTCUSDT,1d,2,dom_adx_p90,2.0693263903392927,60,0.5166666666666667,0.06078844417694854,2.1893263903392923,19.039553520587713
BTCUSDT,1d,3,dom,13.486915187650006,325,0.48307692307692307,0.501354198013843,14.136915187650011,19.039553520587713
BTCUSDT,1d,3,dom_adx_med,6.2653051910264494,170,0.5058823529411764,0.24074631357207343,6.6053051910264395,19.039553520587713
BTCUSDT,1d,3,dom_adx_p90,2.094266032737103,53,0.5660377358490566,0.05717724947336744,2.200266032737102,19.039553520587713
BTCUSDT,1d,4,dom,12.966947639817194,266,0.4924812030075188,0.5037616611495637,13.498947639817189,19.039553520587713
BTCUSDT,1d,4,dom_adx_med,6.291355606808252,145,0.4896551724137931,0.24104724646403852,6.5813556068082395,19.039553520587713
BTCUSDT,1d,4,dom_adx_p90,1.7650351626952065,41,0.6097560975609756,0.058380981041227804,1.8470351626952064,19.039553520587713
BTCUSDT,1d,5,dom,12.544508181894257,229,0.5283842794759825,0.5001504664459826,13.002508181894228,19.039553520587713
BTCUSDT,1d,5,dom_adx_med,6.063977977095567,114,0.4298245614035088,0.23593138730063196,6.291977977095563,19.039553520587713
BTCUSDT,1d,5,dom_adx_p90,1.9253887790721296,33,0.6060606060606061,0.06018657839301836,1.9913887790721296,19.039553520587713
BTCUSDT,1d,6,dom,12.137094430124225,194,0.5721649484536082,0.498344869094192,12.525094430124211,19.039553520587713
BTCUSDT,1d,6,dom_adx_med,5.594524175862071,96,0.5104166666666666,0.2419500451399338,5.786524175862068,19.039553520587713
BTCUSDT,1d,6,dom_adx_p90,1.4090442489030768,30,0.6333333333333333,0.05898284682515799,1.4690442489030762,19.039553520587713
BTCUSDT,1d,7,dom,11.971431591972214,167,0.5988023952095808,0.49593740595847124,12.305431591972198,19.039553520587713
BTCUSDT,1d,7,dom_adx_med,5.463586812711543,88,0.5227272727272727,0.2419500451399338,5.639586812711541,19.039553520587713
BTCUSDT,1d,7,dom_adx_p90,0.9895489603241177,31,0.5161290322580645,0.05717724947336744,1.0515489603241177,19.039553520587713
BTCUSDT,1d,8,dom,11.504131131036083,154,0.5714285714285714,0.49322900993078544,11.812131131036061,19.039553520587713
BTCUSDT,1d,8,dom_adx_med,4.817126513726743,77,0.5324675324675324,0.2452603069515498,4.971126513726743,19.039553520587713
BTCUSDT,1d,8,dom_adx_p90,1.149230320768931,23,0.6086956521739131,0.05236232320192597,1.1952303207689305,19.039553520587713
BTCUSDT,1d,9,dom,11.50084797794813,142,0.5492957746478874,0.49172434547096,11.784847977948129,19.039553520587713
BTCUSDT,1d,9,dom_adx_med,4.739800569777346,68,0.5147058823529411,0.24766777008727053,4.875800569777346,19.039553520587713
BTCUSDT,1d,9,dom_adx_p90,0.9926578100186565,22,0.5909090909090909,0.05356605476978634,1.0366578100186565,19.039553520587713
BTCUSDT,1d,10,dom,11.325244265253488,135,0.5555555555555556,0.4902196810111345,11.595244265253491,19.039553520587713
BTCUSDT,1d,10,dom_adx_med,5.099914651032637,58,0.5172413793103449,0.24857056876316583,5.215914651032634,19.039553520587713
BTCUSDT,1d,10,dom_adx_p90,1.2741615345213586,15,0.5333333333333333,0.05266325609389106,1.3041615345213584,19.039553520587713
BTCUSDT,1d,12,dom,10.647394159167673,120,0.5833333333333334,0.48841408365934397,10.887394159167672,19.039553520587713
BTCUSDT,1d,12,dom_adx_med,4.084226330975174,49,0.5306122448979592,0.24676497141137527,4.182226330975174,19.039553520587713
BTCUSDT,1d,12,dom_adx_p90,1.125697137448054,10,0.8,0.05025579295817033,1.145697137448054,19.039553520587713
BTCUSDT,1d,14,dom,9.948069032341897,109,0.5321100917431193,0.48450195606379776,10.166069032341895,19.039553520587713
BTCUSDT,1d,14,dom_adx_med,3.84907590134303,46,0.5,0.24736683719530544,3.9410759013430283,19.039553520587713
BTCUSDT,1d,14,dom_adx_p90,1.0175879377807826,10,0.6,0.05356605476978634,1.0375879377807822,19.039553520587713
BTCUSDT,1d,16,dom,9.58007662140032,96,0.5416666666666666,0.48480288895576285,9.772076621400316,19.039553520587713
BTCUSDT,1d,16,dom_adx_med,3.929774381015339,38,0.5789473684210527,0.24375564249172435,4.005774381015338,19.039553520587713
BTCUSDT,1d,16,dom_adx_p90,1.0350594961493331,13,0.5384615384615384,0.058080048149262715,1.0610594961493325,19.039553520587713
BTCUSDT,1d,18,dom,9.825539805760132,96,0.5,0.4793860969003912,10.017539805760132,19.039553520587713
BTCUSDT,1d,18,dom_adx_med,4.1491318007379565,40,0.55,0.24225097803189888,4.2291318007379575,19.039553520587713
BTCUSDT,1d,18,dom_adx_p90,1.3341945004841924,8,0.875,0.06289497442070419,1.3501945004841924,19.039553520587713
BTCUSDT,1d,21,dom,9.58472215278026,89,0.5280898876404494,0.4763767679807403,9.762722152780253,19.039553520587713
BTCUSDT,1d,21,dom_adx_med,4.1325441263997895,41,0.5609756097560976,0.24646403851941018,4.21454412639979,19.039553520587713
BTCUSDT,1d,21,dom_adx_p90,1.582587058044214,6,1.0,0.06680710201625037,1.594587058044214,19.039553520587713
BTCUSDT,1d,25,dom,9.542620641309806,78,0.5769230769230769,0.4697562443575083,9.698620641309805,19.039553520587713
BTCUSDT,1d,25,dom_adx_med,4.080095483949947,35,0.5142857142857142,0.24345470959975926,4.150095483949944,19.039553520587713
BTCUSDT,1d,25,dom_adx_p90,2.244131952712321,6,0.8333333333333334,0.07523322299127294,2.2561319527123214,19.039553520587713
BTCUSDT,1d,30,dom,8.909482080654648,71,0.5633802816901409,0.4673487812217875,9.05148208065466,19.039553520587713
BTCUSDT,1d,30,dom_adx_med,4.182833831903518,29,0.5517241379310345,0.22539873608185373,4.240833831903516,19.039553520587713
BTCUSDT,1d,30,dom_adx_p90,2.5354307090872785,6,1.0,0.07974721637074933,2.5474307090872785,19.039553520587713
BTCUSDT,4h,2,dom,21.978097308963434,2523,0.43162901307966706,0.49791656207640944,27.02409730896323,18.740525840289287
BTCUSDT,4h,2,dom_adx_med,11.975397543866313,1547,0.42016806722689076,0.2508660073296852,15.06939754386634,18.740525840289287
BTCUSDT,4h,2,dom_adx_p90,2.6971070901385334,391,0.3887468030690537,0.055725689040614486,3.479107090138519,18.740525840289287
BTCUSDT,4h,3,dom,21.05040229597068,1950,0.44256410256410256,0.4941513128169085,24.95040229597055,18.740525840289287
BTCUSDT,4h,3,dom_adx_med,10.902176162026912,1157,0.41745894554883317,0.2453938450725438,13.216176162026933,18.740525840289287
BTCUSDT,4h,3,dom_adx_p90,3.078106209098631,328,0.43597560975609756,0.05487223254179427,3.734106209098614,18.740525840289287
BTCUSDT,4h,4,dom,19.66624572397439,1610,0.44906832298136645,0.49600883578492894,22.88624572397426,18.740525840289287
BTCUSDT,4h,4,dom_adx_med,8.7107515309472,906,0.4083885209713024,0.2427330689291631,10.522751530947161,18.740525840289287
BTCUSDT,4h,4,dom_adx_p90,2.793303774465846,246,0.4634146341463415,0.05336613283799387,3.285303774465836,18.740525840289287
BTCUSDT,4h,5,dom,18.360070039340513,1393,0.44077530509691315,0.4972137155479693,21.146070039340362,18.740525840289287
BTCUSDT,4h,5,dom_adx_med,8.241176931165066,744,0.3978494623655914,0.24393794869220342,9.729176931165018,18.740525840289287
BTCUSDT,4h,5,dom_adx_p90,2.1526007890384413,192,0.46875,0.05291430292685376,2.536600789038437,18.740525840289287
BTCUSDT,4h,6,dom,17.34428983800921,1266,0.44944707740916273,0.49359907625884836,19.876289838009114,18.740525840289287
BTCUSDT,4h,6,dom_adx_med,7.780579724111366,638,0.3934169278996865,0.24223103569456297,9.056579724111309,18.740525840289287
BTCUSDT,4h,6,dom_adx_p90,1.98338220150496,153,0.5294117647058824,0.052813896279933735,2.2893822015049583,18.740525840289287
BTCUSDT,4h,7,dom,16.835292093812598,1143,0.44006999125109364,0.4926452131131081,19.121292093812574,18.740525840289287
BTCUSDT,4h,7,dom_adx_med,7.523905322681786,540,0.387037037037037,0.24137757919574276,8.603905322681753,18.740525840289287
